i,time_utc,side,entry,sl,tp,atr,R,outcome,risk_usd,pnl_usd,equity_after
208,2025-08-22T07:29:00+00:00,sell,1.1583,1.1585,1.15771,0.00013,-1.0,SL,2.06,-2.06,203.87
209,2025-08-22T07:30:00+00:00,sell,1.15828,1.15847,1.1577,0.00013,-1.0,SL,2.04,-2.04,201.83
210,2025-08-25T09:06:00+00:00,buy,1.17067,1.17044,1.17135,0.00015,3.0,TP,2.02,6.05,207.89
211,2025-08-25T09:07:00+00:00,buy,1.17102,1.17077,1.17177,0.00017,-1.0,SL,2.08,-2.08,205.81
212,2025-08-25T09:19:00+00:00,buy,1.17173,1.17149,1.17246,0.00016,-1.0,SL,2.06,-2.06,203.75
213,2025-08-25T09:20:00+00:00,buy,1.17172,1.17148,1.17244,0.00016,-1.0,SL,2.04,-2.04,201.71
214,2025-08-26T03:04:00+00:00,buy,1.16301,1.16248,1.1646,0.00035,3.0,TP,2.02,6.05,207.76
215,2025-08-26T03:05:00+00:00,buy,1.16393,1.16331,1.16578,0.00041,-1.0,SL,2.08,-2.08,205.69
216,2025-08-26T03:06:00+00:00,buy,1.16379,1.16315,1.16572,0.00043,-1.0,SL,2.06,-2.06,203.63
217,2025-08-26T03:11:00+00:00,buy,1.16417,1.16346,1.1663,0.00047,-1.0,SL,2.04,-2.04,201.59
218,2025-08-26T03:13:00+00:00,buy,1.16444,1.16373,1.16656,0.00047,-1.0,SL,2.02,-2.02,199.58
219,2025-08-26T03:14:00+00:00,buy,1.16488,1.16415,1.16707,0.00049,-1.0,SL,2.0,-2.0,197.58
220,2025-08-26T03:15:00+00:00,buy,1.16516,1.1644,1.16743,0.00051,-1.0,SL,1.98,-1.98,195.61
221,2025-08-26T03:37:00+00:00,buy,1.16575,1.16512,1.16764,0.00042,-1.0,SL,1.96,-1.96,193.65
222,2025-08-26T10:07:00+00:00,sell,1.16191,1.16232,1.16068,0.00027,3.0,TP,1.94,5.81,199.46
223,2025-08-26T10:09:00+00:00,sell,1.1613,1.16173,1.16,0.00029,-1.0,SL,1.99,-1.99,197.47
224,2025-08-26T10:10:00+00:00,sell,1.1614,1.16184,1.16008,0.00029,-1.0,SL,1.97,-1.97,195.49
225,2025-08-26T10:11:00+00:00,sell,1.16066,1.16115,1.15919,0.00033,-1.0,SL,1.95,-1.95,193.54
226,2025-08-26T10:12:00+00:00,sell,1.16062,1.1611,1.15917,0.00032,-1.0,SL,1.94,-1.94,191.6
227,2025-08-27T10:02:00+00:00,sell,1.16154,1.16184,1.16065,0.0002,3.0,TP,1.92,5.75,197.35
228,2025-08-27T10:29:00+00:00,sell,1.16047,1.16076,1.15959,0.00019,3.0,TP,1.97,5.92,203.27
229,2025-08-27T10:30:00+00:00,sell,1.1604,1.16069,1.15952,0.0002,3.0,TP,2.03,6.1,209.37
230,2025-08-27T10:31:00+00:00,sell,1.1604,1.1607,1.15951,0.0002,3.0,TP,2.09,6.28,215.65
231,2025-08-27T10:36:00+00:00,sell,1.15973,1.16009,1.15866,0.00024,-1.0,SL,2.16,-2.16,213.49
232,2025-08-27T10:37:00+00:00,sell,1.15979,1.16014,1.15875,0.00023,-1.0,SL,2.13,-2.13,211.36
233,2025-08-27T11:06:00+00:00,sell,1.15975,1.16002,1.15895,0.00018,3.0,TP,2.11,6.34,217.7
234,2025-08-27T11:08:00+00:00,sell,1.15954,1.15981,1.15872,0.00018,3.0,TP,2.18,6.53,224.23
235,2025-08-27T11:13:00+00:00,sell,1.1591,1.15938,1.15827,0.00018,3.0,TP,2.24,6.73,230.96
236,2025-08-27T11:14:00+00:00,sell,1.15906,1.15935,1.1582,0.00019,3.0,TP,2.31,6.93,237.88
237,2025-08-27T11:15:00+00:00,sell,1.15875,1.15905,1.15784,0.0002,-1.0,SL,2.38,-2.38,235.5
238,2025-08-27T11:16:00+00:00,sell,1.15866,1.15896,1.15776,0.0002,-1.0,SL,2.36,-2.36,233.15
239,2025-08-27T11:31:00+00:00,sell,1.15805,1.15842,1.15693,0.00025,-1.0,SL,2.33,-2.33,230.82
240,2025-08-27T11:32:00+00:00,sell,1.15834,1.15874,1.15715,0.00026,-1.0,SL,2.31,-2.31,228.51
241,2025-08-27T11:34:00+00:00,sell,1.15771,1.15815,1.15639,0.00029,-1.0,SL,2.29,-2.29,226.23
242,2025-08-28T07:03:00+00:00,sell,1.1641,1.16423,1.1637,9e-05,-1.0,SL,2.26,-2.26,223.96
243,2025-08-28T07:07:00+00:00,sell,1.164,1.16413,1.1636,9e-05,-1.0,SL,2.24,-2.24,221.72
244,2025-08-28T08:33:00+00:00,sell,1.16368,1.16379,1.16334,7e-05,-1.0,SL,2.22,-2.22,219.51
245,2025-08-28T08:35:00+00:00,sell,1.16371,1.16382,1.16337,7e-05,-1.0,SL,2.2,-2.2,217.31
246,2025-08-28T08:38:00+00:00,sell,1.16364,1.16376,1.16329,8e-05,-1.0,SL,2.17,-2.17,215.14
247,2025-08-28T08:42:00+00:00,sell,1.16357,1.16368,1.16323,8e-05,-1.0,SL,2.15,-2.15,212.99
248,2025-08-29T10:54:00+00:00,buy,1.16746,1.16715,1.16838,0.00021,-1.0,SL,2.13,-2.13,210.86
249,2025-08-29T10:55:00+00:00,buy,1.16757,1.16726,1.16851,0.00021,-1.0,SL,2.11,-2.11,208.75
