i,time_lagos,side,entry,sl,tp,atr,R,outcome,equity_before,risk_usd,pnl_usd,equity_after
510,2025-09-01T06:06:00+01:00,buy,1.16999,1.1698,1.17057,0.00013,3.0,TP,259.92,2.6,7.8,267.72
511,2025-09-01T06:07:00+01:00,buy,1.17007,1.16987,1.17066,0.00013,3.0,TP,267.72,2.68,8.03,275.75
512,2025-09-01T06:08:00+01:00,buy,1.17015,1.16995,1.17075,0.00013,-1.0,SL,275.75,2.76,-2.76,273.0
513,2025-09-01T06:09:00+01:00,buy,1.17017,1.16997,1.17077,0.00013,-1.0,SL,273.0,2.73,-2.73,270.27
514,2025-09-01T06:52:00+01:00,buy,1.17078,1.17061,1.17129,0.00011,3.0,TP,270.27,2.7,8.11,278.37
515,2025-09-01T06:53:00+01:00,buy,1.17083,1.17066,1.17134,0.00011,3.0,TP,278.37,2.78,8.35,286.73
516,2025-09-01T06:56:00+01:00,buy,1.17095,1.17078,1.17145,0.00011,-1.0,SL,286.73,2.87,-2.87,283.86
517,2025-09-01T06:57:00+01:00,buy,1.17111,1.17093,1.17166,0.00012,-1.0,SL,283.86,2.84,-2.84,281.02
518,2025-09-01T06:58:00+01:00,buy,1.17123,1.17104,1.17181,0.00013,-1.0,SL,281.02,2.81,-2.81,278.21
519,2025-09-01T07:01:00+01:00,buy,1.17134,1.17114,1.17193,0.00013,-1.0,SL,278.21,2.78,-2.78,275.43
520,2025-09-01T10:01:00+01:00,buy,1.1715,1.17134,1.17199,0.00011,3.0,TP,275.43,2.75,8.26,283.69
521,2025-09-01T10:03:00+01:00,buy,1.17156,1.17137,1.17212,0.00012,3.0,TP,283.69,2.84,8.51,292.2
522,2025-09-01T10:04:00+01:00,buy,1.17162,1.17144,1.17217,0.00012,3.0,TP,292.2,2.92,8.77,300.97
523,2025-09-01T10:05:00+01:00,buy,1.17229,1.17204,1.17303,0.00016,-1.0,SL,300.97,3.01,-3.01,297.96
524,2025-09-01T10:06:00+01:00,buy,1.17217,1.17192,1.17292,0.00017,-1.0,SL,297.96,2.98,-2.98,294.98
525,2025-09-01T10:07:00+01:00,buy,1.17234,1.17209,1.1731,0.00017,-1.0,SL,294.98,2.95,-2.95,292.03
526,2025-09-01T10:30:00+01:00,buy,1.17233,1.1721,1.17302,0.00015,-1.0,SL,292.03,2.92,-2.92,289.11
527,2025-09-01T10:34:00+01:00,buy,1.17253,1.17226,1.17333,0.00018,-1.0,SL,289.11,2.89,-2.89,286.22
528,2025-09-01T10:35:00+01:00,buy,1.17254,1.17228,1.17333,0.00017,-1.0,SL,286.22,2.86,-2.86,283.35
529,2025-09-01T10:36:00+01:00,buy,1.17273,1.17246,1.17353,0.00018,-1.0,SL,283.35,2.83,-2.83,280.52
530,2025-09-01T10:37:00+01:00,buy,1.17298,1.1727,1.17382,0.00019,-1.0,SL,280.52,2.81,-2.81,277.72
